id,title,year,rated,released,runtime,genre,director,writer,actors,plot,language,awards,poster,ratings,metascore,imdbrating,imdbvotes,imdbid,dvd,boxoffice,production,website
tt0002013,All for a Girl,1912,,1912-12-14,,"Comedy, Romance, Short",Frederick A. Thomson,Wallace Reid,"Earle Foxe, Dorothy Kelly, Harry T. Morey, Leah Baird","Billy Joy, a young reporter, is told by his chief, if he will secure certain letters connected with a prominent divorce scandal, he will raise his wages $10 a week. This increase will make ...",English,,,,,,,tt0002013,,,,
tt0014945,Girl Shy,1924,Not Rated,1924-04-20,87,"Comedy, Romance","Fred C. Newmeyer, Sam Taylor","Sam Taylor (story), Ted Wilde (story), Tim Whelan (story), Thomas J. Gray (titles)","Harold Lloyd, Jobyna Ralston, Richard Daniels, Carlton Griffin","A shy, young man, who is completely incapable of talking to women, decides to write a book that details to other bachelors how to find a girlfriend.",English,,https://m.media-amazon.com/images/M/MV5BOTIyMjRjMDAtMjY1ZS00YjhhLWJlODUtODJjODk3MzRiMTBiXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,,,7.9,28700,tt0014945,,,https://m.media-amazon.com/images/M/MV5BOTIyMjRjMDAtMjY1ZS00YjhhLWJlODUtODJjODk3MzRiMTBiXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,
tt0018473,Ten Modern Commandments,1927,,1927-07-02,70,"Comedy, Drama",Dorothy Arzner,"Doris Anderson, Paul Gangelin, Jack Lait (story), George Marion Jr. (titles)","Esther Ralston, Neil Hamilton, Arthur Hoyt, Jocelyn Lee",N/A,N/A,,,,,6.3,70,tt0018473,,,,
tt0020985,Holiday,1930,,1930-07-03,91,"Comedy, Drama",Edward H. Griffith,"Philip Barry (stage play), Horace Jackson (photoplay)","Ann Harding, Mary Astor, Robert Ames, Hallam Cooley",Holiday is a 1930 American Pre-Code romantic comedy film which tells the story of a young man who is torn between his free-thinking lifestyle and the tradition of his wealthy fiancée's family.,English,Nominated for 2 Oscars. Another 1 win.,https://m.media-amazon.com/images/M/MV5BMjMzOTI2ODczNV5BMl5BanBnXkFtZTgwNTA3MzU2MzE@._V1_SX300.jpg,,,6.5,2750,tt0020985,,,,
tt0021749,City Lights,1931,G,1931-03-07,87,"Comedy, Drama, Romance",Charles Chaplin,Charles Chaplin,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",English,3 wins.,https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,98.0,99,8.5,1560830,tt0021749,2000-02-08,,https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,
tt0023622,Trouble in Paradise,1932,Not Rated,1933-01-01,83,"Comedy, Crime, Romance",Ernst Lubitsch,"Samson Raphaelson (screenplay), Grover Jones (adaptation), Aladar Laszlo (play)","Miriam Hopkins, Kay Francis, Herbert Marshall, Charles Ruggles",A gentleman thief and a lady pickpocket join forces to con a beautiful perfume company owner. Romantic entanglements and jealousies confuse the scheme.,"English, Italian, Russian, Spanish, German",2 wins.,https://m.media-amazon.com/images/M/MV5BY2E5ODgyYmQtY2Q0ZS00N2MyLWJhYzktYTliMWEyOWM2OGNiXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,92.0,,8.0,120900,tt0023622,2003-01-07,,https://m.media-amazon.com/images/M/MV5BY2E5ODgyYmQtY2Q0ZS00N2MyLWJhYzktYTliMWEyOWM2OGNiXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,
tt0024414,One Sunday Afternoon,1933,PASSED,1933-09-01,85,"Comedy, Romance",Stephen Roberts,"James Hagan (from the play by), Grover Jones (screen play), William Slavens McNutt (screen play)","Gary Cooper, Fay Wray, Frances Fuller, Roscoe Karns","Middle-aged dentist Biff Grimes reminisces about his unrequited love for beautiful Virginia Brush and her husband Hugo, his ex-friend, who betrayed him.",English,,https://m.media-amazon.com/images/M/MV5BMTA2OTg1MzQxMzVeQTJeQWpwZ15BbWU4MDczMDU5NTIx._V1_SX300.jpg,,,6.8,4400,tt0024414,2009-06-02,,https://m.media-amazon.com/images/M/MV5BMTA2OTg1MzQxMzVeQTJeQWpwZ15BbWU4MDczMDU5NTIx._V1_SX300.jpg,
tt0025316,It Happened One Night,1934,Not Rated,1934-02-22,105,"Comedy, Romance",Frank Capra,"Robert Riskin (screen play), Samuel Hopkins Adams (based on the short story by)","Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,English,Won 5 Oscars. Another 5 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BYzJmMWE5NjAtNWMyZS00NmFiLWIwMDgtZDE2NzczYWFhNzIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,98.0,87,8.1,883640,tt0025316,1999-12-28,,https://m.media-amazon.com/images/M/MV5BYzJmMWE5NjAtNWMyZS00NmFiLWIwMDgtZDE2NzczYWFhNzIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,
tt0027884,Libeled Lady,1936,Passed,1936-10-09,98,"Comedy, Romance",Jack Conway,"Maurine Dallas Watkins (screen play), Howard Emmett Rogers (screen play), George Oppenheimer (screen play), Wallace Sullivan (from the story by)","Jean Harlow, William Powell, Myrna Loy, Spencer Tracy","A newspaper man, his ignored fiancée, and his former employee, a down on his luck reporter, hatch an elaborate scheme to turn a false news story into the truth in order to prevent a high-society woman from suing for libel.",English,,https://m.media-amazon.com/images/M/MV5BY2ZiMjFkNDEtMTY5Mi00NTA1LTllOGQtZGI1NWI4MGQ2NjBlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,83.0,,7.9,66470,tt0027884,2005-03-01,,https://m.media-amazon.com/images/M/MV5BY2ZiMjFkNDEtMTY5Mi00NTA1LTllOGQtZGI1NWI4MGQ2NjBlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,
tt0028010,My Man Godfrey,1936,Not Rated,1936-09-06,94,"Comedy, Drama, Romance",Gregory La Cava,"Morrie Ryskind (screen play), Eric Hatch (screen play), Eric Hatch (based on the novel by)","William Powell, Carole Lombard, Alice Brady, Gail Patrick",A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.,"English, Russian",Nominated for 6 Oscars. Another 1 win.,https://m.media-amazon.com/images/M/MV5BNTdkZTViNWItZWM2NS00YmMzLWJiYzgtYTAwODEyNjM0NjIwXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,97.0,,8.0,195850,tt0028010,1998-09-17,,https://m.media-amazon.com/images/M/MV5BNTdkZTViNWItZWM2NS00YmMzLWJiYzgtYTAwODEyNjM0NjIwXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,
